,title,issues,price,deskripsi,size,img,status
183,BRONAL,Morbid Wound,Rp 279.000,White cotton button-ups stand collar long sleeves shirt with white plastic buttons and cotton label.,"['S', 'M', 'L', 'XL', 'XXL']","['https://www.maternaldisaster.com/wp-content/uploads/2024/02/bronal-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/bronal-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/bronal-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/bronal-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/bronal-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/bronal-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/bronal-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/0-shirts-LS-size-chart-1-500x500.jpg']", in ready
184,TYKTA,Morbid Wound,Rp 329.000,Black polyester tote bag with ripstop with rubber patch and woven label.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/02/tykta-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/tykta-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/tykta-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/tykta-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/tykta-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/tykta-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/tykta-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/tykta-8-500x500.jpg']", in ready
185,DENIGMA,Morbid Wound,Rp 299.000,White printing and washed denim tote bag with direct embroidery and woven label.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/02/denigma-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/denigma-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/denigma-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/denigma-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/denigma-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/denigma-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/denigma-8-500x500.jpg']",Out of Stock
186,ETSO,Morbid Wound,Rp 199.000,Black polyester PVC coated mini sling bag with silver shimmer color screen print and woven label.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/02/etso-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/etso-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/etso-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/etso-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/etso-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/etso-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/etso-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/etso-8-500x500.jpg']",Out of Stock
187,NOMOV,Morbid Wound,Rp 209.000,Dark grey nilon mixed with black polyester PVC coated mini sling bag with woven patch and labels.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/02/nomov-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/nomov-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/nomov-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/nomov-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/nomov-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/nomov-6-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/nomov-7-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/nomov-8-500x500.jpg']", in ready
188,FUKA,Morbid Wound,Rp 169.000,Black cotton garment dyed pouch with black rubber patch.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/02/fuka-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/fuka-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/fuka-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/fuka-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/fuka-5-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/fuka-6-500x500.jpg']",Out of Stock
189,ZALTAK,Morbid Wound,Rp 99.000,Army green twill high density polyester wallet / coin pouch with woven patch.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/02/zaltak-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/zaltak-4-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/zaltak-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/zaltak-3-500x500.jpg']", in ready
190,WACARD 06,Morbid Wound,Rp 99.000,Black high density polyester wallets / card holder with white ink screen print.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/02/wacard-06-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/wacard-06-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/wacard-06-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/wacard-06-4-500x500.jpg']", in ready
191,BALACE SL,Morbid Wound,Rp 99.000,Silver chrome iron cast necklace / keychain.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/02/balace-sl-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/balace-sl-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/balace-sl-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/balace-sl-4-500x500.jpg']", in ready
192,MACHAIN BL,Morbid Wound,Rp 99.000,Black color iron cast necklace / keychain.,no size,"['https://www.maternaldisaster.com/wp-content/uploads/2024/02/machain-bl-1-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/machain-bl-3-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/machain-bl-2-500x500.jpg', 'https://www.maternaldisaster.com/wp-content/uploads/2024/02/machain-bl-4-500x500.jpg']", in ready
